state_num,state,insurance_cost_2019,insurance_cost_preexisting_2019,0_to_17_preexisting,18_to_24_preexisting,25_to_34_preexisting,35_to_44_preexisting,45_to_54_preexisting,55_to_64_preexisting,total_nonelderly_preexisting,percent_nonelderly_preexisting
1,AL ,6519,48911.4051,264900,170600,281100,348100,443800,451200,1959800,0.5
2,AK,8933,67023.4057,44600,30200,54200,53400,67900,76200,326400,0.5
3,AZ,6517,48896.3993,386200,245300,414300,490000,607500,619900,2763200,0.5
4,AR,6054,45422.5566,168500,103900,172900,206600,263400,262100,1177500,0.5
5,CA,6939,52062.6231,2171900,1446200,2654100,3011300,3813800,3581700,16679100,0.5
6,CO,6550,49143.995,299300,193800,377200,429200,519000,532500,2350900,0.51
7,CT,7516,56391.7964,182100,129400,201400,250500,387200,390500,1541100,0.52
8,DE,8090,60698.461,48600,32500,56300,63100,93100,95500,389100,0.51
9,DC,7338,55056.2802,28100,29900,69700,55700,55800,52000,291300,0.5
10,FL,6763,50742.1127,973800,645200,1162000,1388700,1879800,1760800,7810300,0.51
11,GA,6873,51567.4317,596500,378700,629800,800700,1001500,908900,4316000,0.5
12,HI,6671,50051.8459,74600,49500,98400,103100,126700,141000,593300,0.51
13,ID,6346,47613.4034,103200,57800,98700,117200,141600,154700,673200,0.49
14,IL,7157,53698.2553,707400,453900,806400,967700,1263700,1272600,5471600,0.51
15,IN,6957,52197.6753,377100,247900,380700,471100,625100,643800,2745700,0.5
16,IA,6657,49946.8053,174100,118000,177700,211900,287700,319100,1288400,0.5
17,KS,6338,47553.3802,172400,111600,174500,199300,259700,282800,1200300,0.5
18,KY,6678,50104.3662,240400,155500,253300,319900,414400,412100,1795500,0.5
19,LA,6748,50629.5692,266600,167600,302600,331400,419700,433200,1921000,0.5
20,ME,7424,55701.5296,61200,41200,68400,86500,137500,153600,548300,0.53
21,MD,7104,53300.6016,320700,204400,379100,446300,627700,607800,2586000,0.51
22,MA,7540,56571.866,331600,257700,427300,485400,703100,698000,2903000,0.52
23,MI,6705,50306.9445,527600,362400,551500,670300,974500,1024000,4110300,0.51
24,MN,6904,51800.0216,307100,186400,338300,389900,540600,568600,2331000,0.51
25,MS,6199,46510.4771,173700,114400,168800,219200,257600,262200,1195900,0.49
26,MO,6800,51019.72,332300,218100,360600,417400,568200,599300,2495900,0.51
27,MT,6899,51762.5071,54000,36700,58600,68300,92000,116400,425900,0.51
28,NE,6628,49729.2212,112400,71300,114600,134700,165300,185500,783800,0.5
29,NV,6586,49414.0994,158900,93100,187800,224100,282000,269500,1215300,0.51
30,NH,7255,54433.5395,62700,47700,70000,89400,146900,155500,572200,0.53
31,NJ,7777,58350.0533,477000,291200,522600,677300,963500,914500,3846000,0.52
32,NM,6696,50239.4184,118900,76500,122800,141200,181100,203000,843500,0.5
33,NY,7890,59197.881,1006000,712600,1307700,1441800,1982700,1948200,8398900,0.51
34,NC,6793,50967.1997,544200,362100,579400,735600,904900,803300,3929400,0.5
35,ND,6681,50126.8749,40800,34500,52000,50500,64400,73700,316000,0.5
36,OH,7178,53855.8162,626200,398600,674200,803100,1121900,1206800,4830900,0.51
37,OK,6711,50351.9619,225900,143900,242500,275000,339000,357700,1584000,0.49
38,OR,6651,49901.7879,206500,133500,251600,304400,370400,414600,1681000,0.51
39,PA,7159,53713.2611,642700,446200,748800,863300,1268600,1359900,5329500,0.52
40,RI,7263,54493.5627,50800,41600,64500,71100,105800,110100,443900,0.52
41,SC,6691,50201.9039,259600,178800,286400,342600,461800,468300,1997600,0.51
42,SD,7161,53728.2669,50000,31100,51000,57100,75900,87400,352500,0.5
43,TN,6630,49744.227,355200,231600,391300,482000,628600,630100,2718800,0.51
44,TX,6967,52272.7043,1721600,1024800,1811700,2157600,2526600,2336800,11579100,0.49
45,UT,6253,46915.6337,218300,125800,200300,232800,222600,221100,1221000,0.46
46,VT,7319,54913.7251,28800,24700,31700,39900,64100,74000,263200,0.53
47,VA,6776,50839.6504,444200,303600,526100,619600,806900,741000,3441400,0.5
48,WA,6897,51747.5013,385100,245000,475400,535200,683700,710000,3034500,0.51
49,WV,7059,52962.9711,90600,59900,98800,130200,169800,188500,737900,0.52
50,WI,7001,52527.8029,308100,206100,329300,400800,574500,616900,2435700,0.51
51,WY,7209,54088.4061,33100,21000,37600,42100,50900,63600,248300,0.51
